dataset_idx,genotype,fitness,selected_manifest_source,bucket_id,seed_rank,dataset_count_metadata,exact_dataset_max_metadata
2750,"qq(LX, XcLLcXXX)",0.4019566037790567,no,,,10893,2.2952309520191614
2751,"(XX,MLXRcRcXXXXFLX)",0.754006985734642,no,,,10893,2.2952309520191614
2752,"Q(CFXXCQX(LXX), XX)",0.473846614527515,no,,,10893,2.2952309520191614
2753,"r(rfX(XXLX, X), XX, )",0.7619512875271957,no,,,10893,2.2952309520191614
2754,"X(RRRqQqXcL(XX), X)",0.3021207680379962,no,,,10893,2.2952309520191614
2755,"X(QXCQ(LXrCCXX), RQfX)",0.41374839859588064,no,,,10893,2.2952309520191614
2756,"C(L(RQCXXMXfX),FLfLX)",0.3101500805162051,no,,,10893,2.2952309520191614
2757,cXXrcmLqXcLXRlXFX,0.6828189142973697,no,,,10893,2.2952309520191614
2758,"M(CXrLX, qCfXfXL(, X,FX))",0.42779567002122293,no,,,10893,2.2952309520191614
2759,"LX(QX(CXRCXCXRX), X)",0.49601738548070123,no,,,10893,2.2952309520191614
2760,XcLXqqcXcXXMXfX,0.7807733211904022,no,,,10893,2.2952309520191614
2761,"X(ccqXqXfXFm(rrX), cX)",0.2533680367431126,no,,,10893,2.2952309520191614
2762,CXrXqCXqCXCXRmX,0.4172372802307164,no,,,10893,2.2952309520191614
2763,"(LqCXXLXCFMXX, XCX)",0.7049072821591601,no,,,10893,2.2952309520191614
2764,"LLX(RCXccQ(XXXmX), RXX)",0.6916729544183088,no,,,10893,2.2952309520191614
2765,"LX(RMLmCCQXCCXX, CX)",0.41874079081713755,no,,,10893,2.2952309520191614
2766,"(MQLMXXRCCXXX, McXX)",0.4739281877402532,no,,,10893,2.2952309520191614
2767,"cX(fQXXcX(FX), X)",0.3636537798918088,no,,,10893,2.2952309520191614
2768,"L(RcXR(mXXfcXX), XX, X)",0.6549105665658483,no,,,10893,2.2952309520191614
2769,"LX(, RLXcQXXL(XX), LX)",0.6750988268773144,no,,,10893,2.2952309520191614
2770,"Xc(qMmMXLXcXrXX, X)",0.35691770465974404,no,,,10893,2.2952309520191614
2771,(XXCXqCrXCXLX X),0.4845845015363974,no,,,10893,2.2952309520191614
